LAI,Lwin,PPT,Pa,Rg,Ta,U,VPD,ea,ustar
0,309,0,98.5,0.000,-0.300,4.225,0.000,0.598,NaN
0,309,0,98.5,0.000,-0.400,3.889,0.000,0.593,NaN
0,309,0,98.4,0.000,-0.600,3.822,0.000,0.585,NaN
0,307,0,98.4,0.000,-0.800,3.755,0.000,0.576,NaN
0,307,0,98.3,0.000,-0.700,3.487,0.000,0.581,NaN
0,308,0,98.3,0.000,-0.600,3.219,0.000,0.585,NaN
0,308,0,98.3,1.000,-0.600,3.152,0.000,0.585,NaN
0,308,0,98.2,0.000,-0.700,3.085,0.000,0.581,NaN
0,280,0,99.4,0.000,-0.800,2.526,0.000,0.576,NaN
0,305,0,98.1,0.000,-0.800,1.967,0.000,0.576,NaN
0,308,0,98.1,0.000,-0.800,1.833,0.000,0.576,NaN
0,305,0,98.1,0.000,-0.700,1.699,0.000,0.581,NaN
0,305,0,98.2,0.000,-0.800,2.503,0.000,0.576,NaN
0,305,0,98.2,0.000,-0.800,3.308,0.000,0.576,NaN
0,304,0,98.1,0.000,-0.900,3.353,0.000,0.572,NaN
0,304,0,98.1,0.000,-1.000,3.398,0.000,0.568,NaN
0,303,0,98.1,0.000,-1.000,4.292,0.000,0.568,NaN
0,302,0,98.1,0.000,-1.300,5.186,0.000,0.556,NaN
0,302,0,98.1,0.000,-1.300,5.588,0.000,0.556,NaN
0,301,0,98.2,0.000,-1.400,5.990,0.000,0.552,NaN
0,300,0,98.2,0.000,-1.700,6.460,0.000,0.540,NaN
0,300,0,98.2,0.000,-1.800,6.929,0.000,0.536,NaN
0,299,0,98.3,0.000,-1.900,6.951,0.001,0.531,NaN
0,299,0,98.3,1.000,-1.900,6.974,0.000,0.532,NaN
0,299,0,98.3,6.000,-2.000,6.795,0.000,0.528,NaN
0,296,0,98.4,22.000,-2.800,6.616,0.000,0.497,NaN
0,294,0,98.5,24.000,-3.300,6.773,0.004,0.475,NaN
0,293,0,98.5,45.000,-3.500,6.929,0.011,0.461,NaN
0,292,0,98.6,52.000,-3.700,7.220,0.018,0.447,NaN
0,290,0,98.6,65.000,-4.100,7.510,0.022,0.429,NaN
0,291,0,98.7,125.000,-4.200,7.443,0.025,0.423,NaN
0,291,0,98.7,140.000,-4.300,7.376,0.027,0.417,NaN
0,290,0,98.7,144.000,-4.600,7.242,0.026,0.409,NaN
0,290,0,98.7,166.000,-4.800,7.108,0.030,0.399,NaN
0,288,0,98.7,137.000,-5.000,6.907,0.031,0.391,NaN
0,287,0,98.7,110.000,-5.000,6.706,0.032,0.389,NaN
0,286,0,98.8,79.000,-5.000,6.437,0.033,0.388,NaN
0,286,0,98.8,69.000,-5.000,6.169,0.037,0.384,NaN
0,285,0,98.9,40.000,-5.000,6.013,0.030,0.391,NaN
0,284,0,98.9,31.000,-5.300,5.856,0.032,0.380,NaN
0,283,0,99,20.000,-5.500,5.342,0.030,0.376,NaN
0,282,0,99,6.000,-5.700,4.828,0.028,0.372,NaN
0,281,0,99.1,0.000,-5.700,4.537,0.026,0.374,NaN
0,282,0,99.1,0.000,-5.700,4.247,0.024,0.376,NaN
0,281,0,99.1,0.000,-5.700,4.247,0.030,0.369,NaN
0,281,0,99.2,0.000,-5.800,4.247,0.029,0.367,NaN
0,281,0,99.2,0.000,-5.800,3.867,0.030,0.367,NaN
0,280,0,99.2,0.000,-6.100,3.487,0.029,0.358,NaN
0,280,0,99.2,0.000,-6.100,3.509,0.025,0.363,NaN
0,279,0,99.2,0.000,-6.300,3.532,0.028,0.354,NaN
0,279,0,99.3,0.000,-6.300,3.152,0.029,0.353,NaN
0,279,0,99.3,0.000,-6.400,2.772,0.029,0.350,NaN
0,280,0,99.4,0.000,-6.100,2.615,0.024,0.363,NaN
0,280,0,99.4,0.000,-6.000,2.459,0.026,0.365,NaN
0,280,0,99.4,0.000,-6.100,2.258,0.026,0.362,NaN
0,280,0,99.3,0.000,-6.100,2.056,0.029,0.359,NaN
0,301,0,99.2,0.000,-6.100,2.459,0.028,0.360,NaN
0,281,0,99.4,0.000,-5.800,2.861,0.027,0.370,NaN
0,282,0,99.4,0.000,-5.600,2.705,0.027,0.376,NaN
0,282,0,99.4,0.000,-5.600,2.548,0.027,0.376,NaN
0,282,0,99.4,0.000,-5.600,2.660,0.029,0.374,NaN
0,281,0,99.4,0.000,-5.700,2.772,0.033,0.367,NaN
0,282,0,99.4,0.000,-5.500,3.129,0.029,0.377,NaN
