LAI,Lwin,PPT,Pa,Rg,Ta,U,VPD,ea,ustar
0,303,0,98.9,0,-1.200000048,6.526784,0.052607763,0.507149377,0.474868403
0,302,0,98.8,0,-1.299999952,6.392672,0.044444454,0.511219621,0.437035468
0,301,0,98.8,0,-1.399999976,6.25856,0.037500742,0.514096812,0.413884042
0,301,0,98.7,0,-1.399999976,5.990336,0.036949235,0.514648319,0.421781934
0,300,0,98.7,0,-1.5,5.722112,0.0410575,0.506499935,0.456946386
0,301,0,98.7,0,-1.5,6.057392,0.036678025,0.51087941,0.395474399
0,302,0,98.6,0,-1.299999952,6.392672,0.041666678,0.513997397,0.482493523
0,312,0,98.2,0,-1.200000048,6.549136,0.042533904,0.517223236,0.109544512
0,303,0,98.5,0,-1.200000048,6.7056,0.03749699,0.52226015,0.489795876
0,302,0,98.5,0,-1.100000024,6.7056,0.036082217,0.527794693,0.495075752
0,303,0,98.4,0,-1,6.7056,0.036916053,0.531107476,0.480208288
0,304,0,98.4,0,-0.800000012,6.392672,0.0403431,0.536054819,0.488876263
0,304,0,98.4,0,-0.800000012,6.079744,0.043224746,0.533173173,0.37
0,303,0,98.3,0,-0.800000012,5.69976,0.043801069,0.532596849,0.370809924
0,304,0,98.2,0,-0.5,5.319776,0.052431828,0.536732845,0.420238028
0,305,0,98.2,0,-0.300000012,5.073904,0.057387668,0.540426747,0.317962262
0,305,0,98.2,0,-0.5,4.828032,0.053610057,0.535554616,0.27784888
0,304,0,98.2,0,-0.5,4.962144,0.052431828,0.536732845,0.291204396
0,304,0,98.2,0,-0.600000024,5.096256,0.047956055,0.536925472,0.317804972
0,304,0,98.2,0,-0.600000024,4.69392,0.04678641,0.538095118,0.30757113
0,304,0,98.2,0,-0.600000024,4.291584,0.047371233,0.537510295,0.356089876
0,302,0,98.2,0,-0.899999976,4.001008,0.038332093,0.533865056,0.257099203
0,302,0,98.3,8,-1,3.710432,0.037483984,0.530539545,0.275862285
0,304,0,98.3,49,-0.800000012,4.202176,0.043801069,0.532596849,0.319217794
0,309,0,98.3,113,-0.200000003,4.69392,0.05840987,0.543771454,0.321869539
0,314,0,98.3,143.3333282,0.699999988,5.543296,0.07971164,0.56306141,0.399749922
0,319,0,98.3,233.6666718,1.600000024,6.392672,0.100143826,0.585625115,0.4952777
0,320,0,98.3,268,1.899999976,6.996176,0.108629167,0.59202689,0.440908154
0,322,0,98.3,320,2.400000095,7.59968,0.120571101,0.605533022,0.426028168
0,323,0,98.2,322,2.700000048,7.420864,0.126143587,0.615618771,0.485592422
0,327,0,98.2,404,3.599999905,7.242048,0.146316278,0.644227752,0.457383865
0,332,0,98.2,424,4.400000095,7.085584,0.167341661,0.668922566,0.428835633
0,335,0,98.2,418,5.099999905,6.92912,0.181889868,0.696280025,0.456946386
0,338,0,98.1,420,5.699999809,7.085584,0.189643264,0.725910958,0.496990946
0,342,0,98.1,396,6.300000191,7.242048,0.206281567,0.748055394,0.485798312
